Dye,λmax (nm),Electrons,Bonds,Carbons,Electron Pairs,Box Length (Å)
"1,1'-diethyl-2,2'-cyanine iodide",524,6,4,3,3,10.543275863547823
"1,1'-diethyl-2,2'-carbocyanine iodide",603,8,6,5,4,12.824511083175949
"1,1'-diethyl-2,2'-dicarbocyanine iodide",711,10,8,7,5,15.395438010196262
"1,1'-diethyl-4,4'-cyanine iodide",592,10,8,7,5,14.048116571874598
"1,1'-diethyl-4,4'-carbocyanine iodide",710,12,10,9,6,16.724831728331893
"1,1'-diethyl-4,4'-dicarbocyanine iodide",818,14,12,11,7,19.283381252666118
"3,3'-diethylthiacyanine iodide",424,6,4,3,3,9.48402859496151
"3,3'-diethylthiacarbocyanine iodide",559,8,6,5,4,12.347756743520097
"3,3'-diethylthiadicarbocyanine iodide",656,10,8,7,5,14.787990697253509
"3,3'-diethylthiatricarbocyanine iodide",763,12,10,9,6,17.337834441190612
